+----------------------------------------------------------------------------------------------------------------------+--------+
|                                                        title                                                         | rating |
| Taliya.Date.Com                                                                                                      | 8.8    |
| Temporary Valparaíso                                                                                                 | 8.8    |
| The Art of Women                                                                                                     | 8.8    |
| The Ballad of Frankie Silver                                                                                         | 8.8    |
| The Clock                                                                                                            | 8.8    |
| Unbelehrbar                                                                                                          | 8.8    |
| Utopia in Four Movements                                                                                             | 8.8    |
| Zaustavljeni Glas                                                                                                    | 8.8    |
| Bazaar of All Nations                                                                                                | 8.7    |
| Camp Beaverbrook: The Movie                                                                                          | 8.7    |
| Can 1?                                                                                                               | 8.7    |
| City Lax: An Urban Lacrosse Story                                                                                    | 8.7    |
| Dreaming Nicaragua                                                                                                   | 8.7    |
| Drive Somewhere: The Saga of the Vulgar Boatmen                                                                      | 8.7    |
| Dve ali tri stvari, ki jih vem o njej                                                                                | 8.7    |
| Europolis - The Town of the Delta                                                                                    | 8.7    |
| Eyes Wide Open                                                                                                       | 8.7    |
| For the Love of Elephants                                                                                            | 8.7    |
| Gordonia                                                                                                             | 8.7    |
| Grand Slammed                                                                                                        | 8.7    |
| Hand Held                                                                                                            | 8.7    |
| Have You Heard From Johannesburg                                                                                     | 8.7    |
| Heroes Crossing                                                                                                      | 8.7    |
| Human Resources Documentary                                                                                          | 8.7    |
| Jagger Gravning Syndrome: The Greatest Documentary of Our Time                                                       | 8.7    |
| Jen                                                                                                                  | 8.7    |
| Love Equation                                                                                                        | 8.7    |
| MetaMoebius                                                                                                          | 8.7    |
| Nobody Smiling                                                                                                       | 8.7    |
| On the Summit                                                                                                        | 8.7    |
| Rat Rod Rockers!                                                                                                     | 8.7    |
| Salvage Dream                                                                                                        | 8.7    |
| Sjaak the World                                                                                                      | 8.7    |
| Sounds Like a Revolution                                                                                             | 8.7    |
| The Beekeepers                                                                                                       | 8.7    |
| The Corners                                                                                                          | 8.7    |
| The Shot Felt 'Round the World                                                                                       | 8.7    |
| The Toll                                                                                                             | 8.7    |
| Urban Wolf                                                                                                           | 8.7    |
| Utopia London                                                                                                        | 8.7    |
| Violin Masters: Two Gentlemen of Cremona                                                                             | 8.7    |
| War Music                                                                                                            | 8.7    |
| Wild Horses and Renegades                                                                                            | 8.7    |
| Youngstown: Still Standing                                                                                           | 8.7    |
| 1040: Christianity in the New Asia                                                                                   | 8.6    |
| 442: Live with Honor, Die with Dignity                                                                               | 8.6    |
| Aaranya Kaandam                                                                                                      | 8.6    |
| Arrebatados. Recordando a Iván Zulueta                                                                               | 8.6    |
| As Batidas do Samba                                                                                                  | 8.6    |
| Being Azem                                                                                                           | 8.6    |
| Brown Babies: The Mischlingskinder Story                                                                             | 8.6    |
| Bury the Hatchet                                                                                                     | 8.6    |
| Bush League                                                                                                          | 8.6    |
| Cangleska Wakan                                                                                                      | 8.6    |
| Cheer Up, Sam                                                                                                        | 8.6    |
| Chicas                                                                                                               | 8.6    |
| Den relativt store DVD'en om Radioresepsjonen                                                                        | 8.6    |
| Detroit Connection Pt. 3: Last Man Standing (Demetrius Holloway)                                                     | 8.6    |
| Die Fantastischen Vier - Live in 3D                                                                                  | 8.6    |
| Dig                                                                                                                  | 8.6    |
| Doraleous and Associates                                                                                             | 8.6    |
| Freedom Hills                                                                                                        | 8.6    |
| Green Day: 21st Century Breakdown                                                                                    | 8.6    |
| Gu Nainai                                                                                                            | 8.6    |
| Honorable Retribution                                                                                                | 8.6    |
| Kismet                                                                                                               | 8.6    |
| La Dernière Fois                                                                                                     | 8.6    |
| Legends of Ingushetia                                                                                                | 8.6    |
| Life of the Party: Vol. II                                                                                           | 8.6    |
| Lost Bohemia                                                                                                         | 8.6    |
| Lucho and Ramos                                                                                                      | 8.6    |
| Mammalian                                                                                                            | 8.6    |
| Michael Jackson Commemorated                                                                                         | 8.6    |
| My Father from Haifa                                                                                                 | 8.6    |
| Nargis: When Time Stopped Breathing                                                                                  | 8.6    |
| Neighbours                                                                                                           | 8.6    |
| Novelties                                                                                                            | 8.6    |
| On Coal River                                                                                                        | 8.6    |
| On a Carousel of Sound, We Go Round                                                                                  | 8.6    |
| Only a Number                                                                                                        | 8.6    |
| Out of Focus                                                                                                         | 8.6    |
| Peep Game                                                                                                            | 8.6    |
| Phish 3D                                                                                                             | 8.6    |
| Psycho Chicks Anonymous                                                                                              | 8.6    |
| Senior Prom                                                                                                          | 8.6    |
| Slednecks 13                                                                                                         | 8.6    |
| Step Away from the Stone                                                                                             | 8.6    |
| Supériorité                                                                                                          | 8.6    |
| The Big 4: Live from Sofia, Bulgaria                                                                                 | 8.6    |
| The Last First Comic                                                                                                 | 8.6    |
| The New Normal                                                                                                       | 8.6    |
| The Rise and Fall and Rise of Sensational                                                                            | 8.6    |
| The Road to Carnegie Hall                                                                                            | 8.6    |
| The Wizard of Agni                                                                                                   | 8.6    |
| Toryboy the Movie                                                                                                    | 8.6    |
| Un fueguito. La historia de César Milstein                                                                           | 8.6    |
| Uçurtmam tellere takildi                                                                                             | 8.6    |
| When I Rise                                                                                                          | 8.6    |
| Where Are You Taking Me?                                                                                             | 8.6    |
| 50 for Izzy                                                                                                          | 8.5    |
| A Moment in Time                                                                                                     | 8.5    |
| A Road Not Taken                                                                                                     | 8.5    |
| A Very Short War                                                                                                     | 8.5    |
| America's National Treasures                                                                                         | 8.5    |
| Bijelo Dugme                                                                                                         | 8.5    |
| Biker Fox                                                                                                            | 8.5    |
| Book Smugglers                                                                                                       | 8.5    |
| Brilliant Moon: Glimpses of Dilgo Khyentse Rinpoche                                                                  | 8.5    |
| Canine Instinct                                                                                                      | 8.5    |
| Computer Love                                                                                                        | 8.5    |
| Dreaming Film                                                                                                        | 8.5    |
| Es muss was geben                                                                                                    | 8.5    |
| Fire in the Heartland: Kent State, May 4, and Student Protest in America                                             | 8.5    |
| Freeing Bernie Baran                                                                                                 | 8.5    |
| Frequency of Genius                                                                                                  | 8.5    |
| From the Midst of Pain                                                                                               | 8.5    |
| Gaza We Are Coming                                                                                                   | 8.5    |
| Getting Outer Space                                                                                                  | 8.5    |
| Into the Sky                                                                                                         | 8.5    |
| La Rosi                                                                                                              | 8.5    |
| Leave Them Laughing                                                                                                  | 8.5    |
| Mitti                                                                                                                | 8.5    |
| Natural Demise                                                                                                       | 8.5    |
| Pequenas voces 3d                                                                                                    | 8.5    |
| Pickled                                                                                                              | 8.5    |
| Sam Hunt: Purple Balloon and Other Stories                                                                           | 8.5    |
| Sea the Truth                                                                                                        | 8.5    |
| Senna                                                                                                                | 8.5    |
| Sesame Street: C is for Cookie Monster                                                                               | 8.5    |
| Silverlake Video: The Movie                                                                                          | 8.5    |
| Spinners                                                                                                             | 8.5    |
| Tao of Peace                                                                                                         | 8.5    |
| The Confession of Andrei Serban                                                                                      | 8.5    |
| The Heart That Beats                                                                                                 | 8.5    |
| The Love Project Journey                                                                                             | 8.5    |
| The Start of Dreams                                                                                                  | 8.5    |
| The U Movie                                                                                                          | 8.5    |
| The Unseen World                                                                                                     | 8.5    |
| This is My Land... Hebron                                                                                            | 8.5    |
| Three Stories of Galicia                                                                                             | 8.5    |
| Touch Wood                                                                                                           | 8.5    |
| Tunahaki                                                                                                             | 8.5    |
| Unlisted: A Story of Schizophrenia                                                                                   | 8.5    |
| Viktor & I: An Alexander Vesely Film                                                                                 | 8.5    |
| Viva! Saint Agrippina                                                                                                | 8.5    |
| When Playboys Ruled the World                                                                                        | 8.5    |
| 1 in 3                                                                                                               | 8.4    |
| 12 Onzas                                                                                                             | 8.4    |
| 77 Steps                                                                                                             | 8.4    |
| Anger Has a Secret                                                                                                   | 8.4    |
| Behind the Scenes                                                                                                    | 8.4    |
| Brent Houzenga: Hybrid Pioneer                                                                                       | 8.4    |
| Coals to Newcastle: The New Mastersounds, from Leeds to New Orleans                                                  | 8.4    |
| Comando e controllo                                                                                                  | 8.4    |
| Deconstructing Dad: The Music, Machines and Mystery of Raymond Scott                                                 | 8.4    |
| Dudamel: Let the Children Play                                                                                       | 8.4    |
